Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
180.0674,10.3,HilNeg 03/24,,,,,C04368,19.0,"C01536, C00082, C20807, C04368, C19579, C03290, C06420","0.762239571085924, 0.762239571085924, 0.76106381978084, 0.725037893953815, 0.606321543086793, 0.206669125881479, 0.169665195239322"
265.0839,20.52,HilNeg 03/24,,,,,,,"C19038, C14474","0.75, 0.229953850494753"
188.0939,12.05,HilNeg 03/24,,,,,,,"C11843, C10132, C10124, C02256, C06326","0.867015796703297, 0.745048790425863, 0.745048790425863, 0.74075620800828, 0.489097910054633"
528.0754,10.55,HilNeg 03/24,,,,,,,"C12318, C17093","0.75, 0.745871070185984"
171.0407,12.58,HilNeg 03/24,,,,,,,"C05565, C13739, C20892, C20893","0.75, 0.204500518725167, 0.201910994623312, 0.174731326427054"
340.1278,9.71,HilNeg 03/24,,,,,,,"C19702, C18540, C15658","0.75, 0.42452178502441, 0.34083199016115"
284.0534,10.25,HilNeg 03/24,,,,,,,C19768,0.75
470.1466,20.53,HilNeg 03/24,,,,,,,C03204,0.75
176.0561,13.75,HilNeg 03/24,,,,,,,"C20845, C20844, C17576, C06034","0.0, 0.0, 0.0, 0.0"
217.0298,12.64,HilNeg 03/24,,,,,,,C06721,0.75
181.0145,20.73,HilNeg 03/24,,,,,,,"C01853, C14097, C12325, C06680","0.860183841315917, 0.75, 0.75, 0.75"
452.0967,10.06,HilNeg 03/24,,,,,,,C18453,0.75
253.2184,34.94,HilNeg 03/24,,,,,,,C08362,0.0
102.0566,15.42,HilNeg 03/24,,,,,,,"C19514, C11735, C11109, C05145, C03665, C03284, C02721, C02356, C02261, C01205, C01026, C00334","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
339.0982,4.36,HilNeg 03/24,,,,,,,C18698,0.75
146.0244,2.5,HilNeg 03/24,,,,,,,"C05579, C11129","0.75, 0.554248539811463"
85.03,21.64,HilNeg 03/24,,,,,,,"C19443, C19309, C19201, C16835, C16267, C02497, C01771, C01770, C00741","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
360.1313,11.99,HilNeg 03/24,,,,,,,"C07660, C07321","0.75, 0.75"
313.1004,2.41,HilNeg 03/24,,,,,,,C18613,0.75
390.1487,9.26,HilNeg 03/24,,,,,,,C11622,0.75
209.0824,9.51,HilNeg 03/24,,,,,,,"C02325, C10709, C07350, C02726","0.75, 0.0, 0.0, 0.0"
127.0516,10.63,HilNeg 03/24,,,,,,,"C21028, C00906, C05715, C05717","0.760632344711808, 0.760632344711808, 0.75, 0.734051534488971"
322.1516,11.11,HilNeg 03/24,,,,,,,C20910,0.75
710.3323,11.28,HilNeg 03/24,,,,,,,C08089,0.0
432.053,10.93,HilNeg 03/24,,,,,,,C10982,0.75
313.0681,20.62,HilNeg 03/24,,,,,,,"C19584, C17785, C17784, C16753, C16418, C15100, C10516, C10471, C10407","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
